Date,Open,High,Low,Close
02-Nov-15,8054.55,8060.7,7995.6,8050.8
03-Nov-15,8086.35,8100.35,8031.75,8060.7
04-Nov-15,8104.9,8116.1,8027.3,8040.2
05-Nov-15,8030.35,8031.2,7944.1,7955.45
06-Nov-15,7956.55,8002.65,7926.15,7954.3
09-Nov-15,7788.25,7937.75,7771.7,7915.2
10-Nov-15,7877.6,7885.1,7772.85,7783.35
11-Nov-15,7838.8,7847.95,7819.1,7825
13-Nov-15,7762.45,7775.1,7730.9,7762.25
16-Nov-15,7732.95,7838.85,7714.15,7806.6
17-Nov-15,7848.75,7860.45,7793,7837.55
18-Nov-15,7823.15,7843.4,7725.05,7731.8
19-Nov-15,7788.5,7854.9,7765.45,7842.75
20-Nov-15,7841.9,7906.95,7817.8,7856.55
23-Nov-15,7869.5,7877.5,7825.2,7849.25
24-Nov-15,7837,7870.35,7812.65,7831.6
26-Nov-15,7837.15,7897.1,7832,7883.8
27-Nov-15,7910.6,7959.3,7879.45,7942.7
30-Nov-15,7936.25,7966,7922.8,7935.25
01-Dec-15,7958.15,7972.15,7934.15,7954.9
02-Dec-15,7976.7,7979.3,7910.8,7931.35
03-Dec-15,7902.3,7912.3,7853.3,7864.15
04-Dec-15,7817.6,7821.4,7775.7,7781.9
07-Dec-15,7816.55,7825.4,7746.05,7765.4
08-Dec-15,7738.5,7771.25,7685.45,7701.7
09-Dec-15,7695.5,7702.85,7606.9,7612.5
10-Dec-15,7643.3,7691.95,7610,7683.3
11-Dec-15,7699.6,7703.05,7575.3,7610.45
14-Dec-15,7558.2,7663.95,7551.05,7650.05
15-Dec-15,7659.15,7705,7625.1,7700.9
16-Dec-15,7725.25,7776.6,7715.75,7750.9
17-Dec-15,7783.05,7852.9,7737.55,7844.35
18-Dec-15,7828.9,7836.15,7753.35,7761.95
21-Dec-15,7745.65,7840.75,7733.45,7834.45
22-Dec-15,7829.4,7846.3,7776.85,7786.1
23-Dec-15,7830.45,7871.45,7826.1,7865.95
24-Dec-15,7888.75,7888.75,7835.5,7861.05
28-Dec-15,7863.2,7937.2,7863,7925.15
29-Dec-15,7929.2,7942.15,7902.75,7928.95
30-Dec-15,7938.6,7944.75,7889.85,7896.25
31-Dec-15,7897.8,7955.55,7891.15,7946.35
01-Jan-16,7938.45,7972.55,7909.8,7963.2
04-Jan-16,7924.55,7937.55,7781.1,7791.3
05-Jan-16,7828.4,7831.2,7763.25,7784.65
06-Jan-16,7788.05,7800.95,7721.2,7741
07-Jan-16,7673.35,7674.95,7556.6,7568.3
08-Jan-16,7611.65,7634.1,7581.05,7601.35
11-Jan-16,7527.45,7605.1,7494.35,7563.85
12-Jan-16,7587.2,7588.3,7487.8,7510.3
13-Jan-16,7557.9,7590.95,7425.8,7562.4
14-Jan-16,7467.4,7604.8,7443.8,7536.8
15-Jan-16,7561.65,7566.5,7427.3,7437.8
18-Jan-16,7420.35,7463.65,7336.4,7351
19-Jan-16,7381.8,7462.75,7364.15,7435.1
